method,converged,end_time_s,min_voltage_pu,max_voltage_pu,min_frequency_Hz,max_frequency_Hz,max_current_utilization,switch_count,aggregate_gfm_time_s,actual_reclose_s,reselection_status,max_accepted_residual,prediction_evaluations,wall_time_s,selected_gfm,reference_owner
Legacy selector,1,160,0.139266849593909,1.25702739076975,55.1302111290083,60.1836308826377,0.930375630129804,4,559.950000000002,NaN,NOT_REQUESTED,8.70060967023134e-09,NaN,4864.5118828,2-3-4-5,2
ET-FCSPS,1,160,0.139266849593909,1.25702739076975,55.1302111290083,60.161977681925,0.930375630129804,3,419.962500000002,NaN,NOT_REQUESTED,7.93925870185008e-09,8,3976.6050421,2-3-5,2
BO replay,1,160,0.139266849593909,1.25702739076975,55.1302111290083,60.161977681925,0.930375630129804,3,419.962500000002,NaN,NOT_REQUESTED,7.93925870185008e-09,8,2496.7135535,2-3-5,2
